Date	Type	Country	Area	Location	Activity	Name	Sex 	Age	Fatal (Y/N)	Grad Injury	Location of Injury	Type of Shark	Size of Shark	Investigator or Source	pdf
	Unprovoked	COSTA RICA	Cocos Island	Manuelita	Scuba diving	Rohina Bhandari	F	49	Y	Fatal	Unknown	Tiger shark	Unknown	R. Arauz	aBhandari
	Sea Disaster	LIBYA		 Gars Garabulli	2 boats capsized	31 migrants		0	Y	Fatal	Unknown	blue shark	Unknown	TG Com 24, 11/25/2017	RLibya
2017-11-24	Unprovoked	USA	California	Stillwater Cove, Monterey County	Spearfishing	Grigor Azatian	M	25	N	Injury	Right leg	White shark	4.	R. Collier, GSAF	Azatian
2017-11-18	Unprovoked	USA	Florida	Floridana Beach, Brevard County	Surfing	Kaia Anderson	F	14	N	Injury	Unknown	Unknown	Unknown	Florida Today, 11/21/2017	Anderson
2017-11-13	Unprovoked	AUSTRALIA	New South Wales	Avoca Beach	Surfing	Charlie Fry	M	25	N	Injury	Unknown	m shark	2 m	B. Myatt, GSAF	Fry
2017-11-04	Unprovoked	CUBA	Holquin Province	Guardalavaca Beach	Night bathing	Jesús Cabrera González 	M	22	Y	Fatal	Unknown	Tiger shark	Unknown	TrackingSharks	Cuba
	Unprovoked	AUSTRALIA	Queensland	Magnetic Island	Snorkeling	Jack Tolley	M	7	N	Injury	Unknown	Cookiecutter shark	Unknown	Townsville Bulletin, 10/31/2017	RTolley
2017-10-28	Unprovoked	AUSTRALIA	New South Wales	Birubi Point	Surfing		M	31	N	Minor injury	Unknown	Wobbegong shark	1 m	B. Myatt, GSAF	Birubi
2017-10-26	Unprovoked	USA	Hawaii	White Plains Beach, Oahu	Stand-Up Paddleboarding		M	0	N	No injury	Unknown	Unknown	Unknown	Hawaii News Now, 10/27/2017	Oahu
	Unprovoked	MAURITIUS	Pamplemousses 	Le Goulet	Swimming		M	0	N	Minor injury	Unknown	Unknown	Unknown	J. LeBlanc, GSAF	cMauritius
	Unprovoked	USA	Florida	Juno Beach, Palm Beach County	Surfing 	Jason Hartl	M	17	N	Lacerations	left foot	Unknown	Unknown	WPBF News, 10/24/2017	bHartl
	Unprovoked	USA	Florida	Ocean Reef Park, Singer Island, Palm Beach County	Swimming	Susan Peteka	F	60	N	Injury	hand	Unknown	Unknown	Palm Beach Post, 11/1/2017	aPeteka
2017-10-22	Unprovoked	AUSTRALIA	South Australia	Normanville	Kayaking / Fishing	Sarah Williams	F	15	N	Injury	Unknown	White shark	4.	Nine News, 10/22/2017	Williams
2017-10-21	Unprovoked	NEW ZEALAND	North Island	Off Tapuna Beach, Auckand	Kayaking	David Lomas	M	0	N	No injury	Unknown	m shark	2 m	New Zealand Herald, 10/22/2017	Lomas
2017-10-18	Unprovoked	USA	Florida	Lantana Beach, Palm Beach County	Swimming	Carlos Iribam	M	0	N	Injury	Unknown	Spinner shark	Unknown	WPTV, 10/19/2017	Iribam
2017-10-09	Unprovoked	USA	Hawaii	Davidsons Beach, Kekaha, Kauai	Surfing	Mitch Milan	M	54	N	Lacerations	hand	Tiger shark	Unknown	Hawaii News Now, 10/10/2017	Milan
2017-10-05	Unprovoked	USA	Hawaii	Kamaole Beach Park, Maui 	Snorkeling	fe	F	40	N	Injury	Unknown	Unknown	8'	Maui Now, 10/5/2017	Hawaii
2017-10-01	Invalid	SOUTH AFRICA	Western Cape Province	Dyer Island	Scuba Diving	Bradley Fick	M	31		Fatal	Unknown	Unknown	Unknown	All Africa, 10/11/2017 	Fick
	Unprovoked	USA	Florida	Hanna Park, Jacksonville, Duval County	Surfing	Justin White	M	0	N	Lacerations	left leg	Unknown	5'	News4Jax, 9/26/2017	bWhite
	Unprovoked	AUSTRALIA	Western Australia	Gracetown	Surfing	Catherine Vissers	M	0	N	No injury	Unknown	White shark	3.	Stab Magazine, 9/26/2017	aVissers
	Invalid	USA	New York	Rockaway	Surfing	Michah Behrend	M	33		Fatal	Unknown	Unknown	Unknown	S. Curatolo-Wageman, GSAF	bBehrend
	Unprovoked	USA	Florida	Fort Worth	Surfing		M	0	N	Injury	Unknown	Unknown	4'	Sun Sentinel, 9/24/2017	aFortWorth
2017-09-20	Unprovoked	USA	Florida	Palm Beach County	Surfing	Richard Inniss	M	0	N	Injury	left foot	Unknown	Unknown	WPTV, 9/25/2017	Inniss
	Unprovoked	SPAIN	Canary Islands	Gran Canaria 	Body surfing		M	13	N	Lacerations	right foot	Unknown	1.	Turismo La Aldea	bGrandCanary
	Unprovoked	USA	Florida	Ponce Inlet, Volusia County	Surfing		M	28	N	Lacerations	left foot	Unknown	Unknown	Orlando Sentinel, 9/16/2017	aVolusia
	Invalid	SOUTH AFRICA	Western Cape Province	Hawston	Scuba Diving	Wayon Love	M	25		Fatal	Unknown	Unknown	Unknown	Ground Up, 9/20/2017	bLove
		SAMOA	 Upolu Island	Nofoalii	Fishing		M	0	N	Injury	hands	Unknown	Unknown	Samoa Observer, 9/16/2017	aSamoa
2017-09-14	Boating	AUSTRALIA	Westerm Australia	Esperance	Fishing	nan		0	N	Injury	Unknown	White shark	3.	B. Myatt, GSAF	EsperanceBoats
2017-09-13	Unprovoked	USA	Florida	Ponce Inlet, Volusia County	Surfing	Benjamin Loyd	M	18	N	Lacerations	left foot	Unknown	5'	TrackingSharks, 10/22/2017	Loyd
	Unprovoked	AUSTRALIA	Westerm Australia	Sam's Creek area	Swimming		M	0	N	Injury	Unknown	Unknown	Unknown	West Australian, 9/11/2017	bSamson
	Unprovoked	AUSTRALIA	New South Wales	Iluka Beach	Surfing	Abe McGrath	M	35	N	Injury	Unknown	White shark	3 	B. Myatt, GSAF	aMcGrath
	Unprovoked	SOLOMON ISLANDS		Owarigi Island	Spearfishing	Bartholmew	M	0	N	Injury	Foot	Unknown	Unknown	BBC	Bartholomew
	Unprovoked	SOUTH AFRICA	Western Cape Province	Dyer Island	Swimming, poaching abalone	Sivuyile Xelela	M	0	Y	Fatal	Unknown	Unknown	Unknown	All Africa, 10/11/2017	bXelela
	Unprovoked	JAPAN	Shizuoka Prefecture	Iwata City	Surfing		M	42	N	Injury	Unknown	Unknown	Unknown	Japan Today, 9/4/2017	aJapan
	Unprovoked	USA	Florida	Marathon, Monroe County	Swimming	Ervin Maccarty	M	0	N	Lacerations	Unknown	Nurse shark	Unknown	NewsFlare	cMaccarty
	Unprovoked	USA	Texas	South Padre Island, Cameron County	Swimming	fe	F	0	N	Lacerations	Unknown	Unknown	Unknown	Brownsville Herald, 9/5/2017	bSouthPadre
	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County	Surfing	Chase Elmore	M	17	N	Minor injury	hand	Unknown	Unknown	Click Orlando, 9/2/2017	aElmore
2017-08-29	Unprovoked	AUSTRALIA	Victoria	Cathedral Rock	Surfing	Marcel Brundler	M	37	N	No injury	Unknown	White shark	3 m	B. Myatt, GSAF	Brundler
2017-08-27	Unprovoked	USA	Florida	Bathtub Beach 	Wading	Violet Veatch	F	3	N	Injury	Unknown	Unknown	Unknown	Sun Sentinel, 8/27/2017	Veatch
	Invalid	SPAIN	Castellón	Grao de Moncofa	Swimming	fe	F	11		Fatal	left foot	Unknown	Unknown	El Periodico Mediterraneo, 8/27/2017	bSpain
	Unprovoked	NEW ZEALAND	North Island	Off Tutukaka	Canoeing	Matt Kensington	M	0	N	No injury	Unknown	Unknown	Unknown	C.Black, GSAF	aKensington
2017-08-23	Unprovoked	USA	Massachusetts	Marconi Beach, Wellfleet, Barnstable County	SUP	Cleveland Bigelow	M	69	N	Injury	Unknown	White shark	5'	Cape Cod Times, 8/23/2017	Bigelow
2017-08-18	Unprovoked	BAHAMAS			Spearfishing		M	0	N	Injury	Unknown	Unknown	5'	CBS12, 8/18/2017	JupiterDiver
2017-08-10	Unprovoked	USA	South Carolina	Sea Pines Resort, Hilton Head Island, Beaufort County	Swimming	Linton Suttle	M	13	N	Injury	left foot	blacktip shark	Unknown	C. Creswell, GSAF	Suttle
2017-08-05	Unprovoked	EGYPT	Red Sea Protectorate	Marsa Ghalib	Snorkeling	Kirsten Schachinger	F	20	N	Injury	right leg	whitetip shark	1.	Egyptian government, 8/5/2017	Schachinger
2017-08-03	Provoked	USA	Massachusetts	"Menauhant Beach, Falmouth,
Barnstable County"	Fishing		M	34	N	Injury	Foot	Unknown	4'	MassLive, 8/4/2017	Massachusetts
2017-08-01	Boating	USA	California	Between Pescadero Point & Bean Hollow Beach, San Mateo County	Kayaking / Fishing	Patrick Conroy	M	0	N	No injury	Unknown	White shark	10'	R. Collier, GSAF	Conroy
2017-07-31	Unprovoked	USA	Florida	Jacksonvlle, Duval County	Skimboarding	Colton McCarty	M	15	N	Lacerations	lower leg	Unknown	Unknown	K. McMurray, Tracking Sharks	
	Invalid	USA	South Carolina	Hilton Head Island, Beaufort County	Swimming	Johnny Simatacolos	M	10		Fatal	Unknown	small shark	Unknown	C. Creswell, GSAF	cSimatacolos
	Unprovoked	USA	South Carolina	DeBordieu Colony, Georgetown County		fe x 2	F	12	N	Injury	left thigh	Unknown	Unknown	C. Creswell, GSAF	aGeorgetown
2017-07-27	Unprovoked	BAHAMAS	New Providence District	Rose Island	Snorkeling	fe	F	0	N	Injury	Foot	Unknown	Unknown	R. Rolle, Tribune 242,  7/28/2017	Bahamas
	Unprovoked	BAHAMAS	40 miles off Grand Bahama Island		Spearfishing	Michael Massey	M	0	N	Injury	hand	Unknown	Unknown	RevistaJaraysedal.es, 7/26/2017	RMassey
2017-07-24	Unprovoked	ST HELENA, British overseas territory	Ascension Island	English Bay	Surfing	Kawika Matsu	M	37	N	Injury	Unknown	Unknown	Unknown	Telegraph UK, 7/28/2017	Matsu
	Unprovoked	USA	New Jersey	Ventnor		Isabella Smith	F	0	N	Minor injury	hand	Sandtiger shark	2'	A. Smith	bSmith
	Unprovoked	SPAIN	Majorca	Estanys Beach, Colonia de Sant	Swimming	fe	F	0	N	Injury	Unknown	Blue shark	6'	Daily Record, 7/24/2017	aMajorca
2017-07-22	Unprovoked	USA	Florida	Snipes Point, Monroe County		fe	F	40	N	Injury	Foot	small shark	Unknown	NBC Miami, 7/23/2017	Keys
	Invalid	USA	South Carolina	Hilton Head Island, Beaufort County	Swimming	Ellie Rogier	F	8		Fatal	Foot	Unknown	Unknown	C. Creswell, GSAF	cRogier
	Boating	USA	California	Stearns Wharf, Santa Barbara	Kayaking	Bret Jackson	M	40	N	No injury	Unknown	White shark	11'	R. Collier, GSAF	bJackson
	Unprovoked	USA	California	Seal Rock, Goleta Beach, Santa Barbara	SUP	Rolf Geyling	M	50	N	No injury	Unknown	White shark	8'	R. Collier, GSAF	aGeyling
	Unprovoked	USA	Washington	South Beach, Westport, Grays Harbor County	Surfing	MK	M	0	N	Injury	Unknown	White shark	9'	R. Collier, GSAF	bWashington
	Unprovoked	AUSTRALIA	Western Australia	Floreat Beach	Surfing		M	0	N	Minor injury	Unknown	Unknown	Unknown		aFloreat
2017-07-11	Boating	USA	California	Santa Cruz, Santa Cruz County	Kayaking	Steve Lawson	M	0	N	No injury	Unknown	White shark	Unknown	R. Collier, GSAF	Lawson
2017-07-09	Unprovoked	USA	Florida	Haulover Beach, Miami-Dade County	Swimming	Elvin Lanza	M	46	N	Injury	Lower leg	Bull shark	4'	Miami-Beach Patch, 7/9/2017	Lanza
	Provoked	MEXICO	Tabasco	Sánchez Magallanes, Cárdenas	Fishing	Andres Ovando Rodriguez	M	32	N	Injury	Unknown	Tiger shark	100	Tabasco Hoy, 7/7/2017	RRodriguez
2017-07-07	Unprovoked	SOUTH AFRICA	Eastern Cape Province	Nahoon Reef, East London	Surfing	Zoe Stein	F	13	N	No injury	Unknown	White shark	2.	Dispatch Live, 7/7/2027	Stein
2017-07-02	Invalid	COMOROS	Anjouan	Moya	Fishing	nan		0		Fatal	Unknown	Unknown	Unknown	Linfo, 7/3/2017	Comoros
2017-06-29	Invalid	USA	South Carolina	Wrightsville Beach	Fishing		M	0		Fatal	Unknown	No shark	Unknown	C. Creswell, GSAF	Wrightsville
2017-06-21	Unprovoked	USA	South Carolina	South Forest Beach, Hilton Head Island, Beaufort County	Swimming	Olivia Wallhauser	F	16	N	Injury	Left foot	Unknown	Unknown	C. Creswell, GSAF	Wallhauser
2017-06-19	Unprovoked	USA	Florida	Singer Island, Palm Beach County	Surfing		M	0	N	Injury	Unknown	Unknown	Unknown	CBS12, 6/19/2017	SingerIsland
	Unprovoked	USA	South Carolina	Burkes Beach, Hilton Head, Beaufort County	Swimming	Regan Readnour	F	14	N	Injury	Unknown	Bull shark	4'	C. Creswell, GSAF	bReadnour
	Unprovoked	REUNION		Roches Noire	Body boarding	Julien	M	34	N	No injury	Unknown	Bull shark	2m	Clincanoo, 6/19/2017	aReunion
2017-06-17	Unprovoked	SPAIN	Ibiza Island	Playa den Bossa	Swimming		M	82	N	Injury	hand	Unknown	Unknown	Diario de Ibiza, 6/17/'2017	Spain
2017-06-05	Unprovoked	FRENCH POLYNESIA	Marquesas	Atuona Bay, Hiva Oa Island	Surfing		M	0	N	Injury	hand	Unknown	Unknown	Tahiti Infos, 6/6/2017	FrenchPolynesia
	Unprovoked	BAHAMAS			Feeding sharks	Carly	F	0	N	Injury	Unknown	Unknown	Unknown	AOL.UK, 6/14/2017	RCarly
2017-06-11	Unprovoked	AUSTRALIA	Western Australia	Point Casuarina, Bunbury	Body boarding	Paul Goff	M	48	N	No injury	Unknown	White shark	4 m	WA Today, 6/11/2017	Goff
	Unprovoked	AUSTRALIA	Victoria	Flinders, Mornington Penisula	Surfing	fe	F	0	N	No injury	Unknown	gill shark	Unknown	Victoria Shark Reports	bFlinders
	Unprovoked	USA	Florida	Ponce Inlet, Volusia County	Surfing	Bryan Brock	M	19	N	Injury	left foot	Unknown	Unknown	Daytona Beach News-Journal, 6/10/2017	aBrock
	Unprovoked	UNITED KINGDOM	South Devon	Bantham Beach	Surfing 	Rich Thomson	M	30	N	Injury	hand	3m shark	3m	C. Moore, GSAF	RThomson
2017-06-04	Unprovoked	USA	Florida	Middle Sambo Reef off Boca Chica, Monroe County	Spearfishing	Parker Simpson	M	0	N	Injury	Unknown	Unknown	8'	Nine News, 6/7/2017	Simpson
2017-06-02	Unprovoked	BAHAMAS	New Providence 	Athol Island	Snorkeling	Tiffany Johnson	F	32	N	Injury	Unknown	Tiger shark	Unknown	Tribune 242, 6/2/2017	Johnson
2017-05-30	Provoked	USA	South Carolina	Awendaw, Charleston County	Touching a shark	Mackenzie Higgins	F	20	N	Injury	hand	Unknown	3'	C. Creswell, GSAF	Higgins
2017-05-28	Unprovoked	USA	Florida	Off Jupiter	Feeding sharks	Randy Jordan	M	0	N	Lacerations	Unknown	Tiger shark	Unknown	M. Michaelson, GSAF	Jordan
2017-05-27	Invalid	AUSTRALIA	New South Wales	Evans Head	Fishing 	Terry Selwood	M	73	N	Injury	Unknown	Unknown	Unknown	B. Myatt, GSAF	Selwood
2017-05-12	Unprovoked	UNITED ARAB EMIRATES	Sharjah, 	Khor Fakkan	Spearfishing	Al Beloushi  	M	41	N	Injury	Right leg	Unknown	Unknown	Gulf News, 5/13/2017	Beloushi
	Provoked	AUSTRALIA	Queensland	Weipa	Attempting to lasso a shark	Josh Neille	M	29	N	Injury	Unknown	Unknown	9'	The Sun, 5/6/2017	RNeille
2017-05-06	Unprovoked	MEXICO	Baja California Sur	Los Arbolitos, Cabo Pulmo	Snorkeling	Andres Rozada	M	33	Y	Fatal	Unknown	Unknown	Unknown	J. Rozada	Rozada
2017-05-03	Invalid	USA	California	Sunset Beach, Orange County	Surfing	Sophia Raab	F	18		Fatal	Unknown	Unknown	Unknown	R. Collier, GSAF	Raab
	Unprovoked	USA	California	San Onofre, San Diego County 	Swimming	Leeanne Ericson	F	0	N	Injury	posterior thigh	Unknown	Unknown	R. Collier, GSAF	dEricson
	Unprovoked	SOUTH AFRICA	Western Cape Province	Keurbooms, Plettenberg Bay	Surfing		M	14	N	Minor injury	Unknown	Unknown	Unknown	J. de Villiars, News24, 4/29/2017	cPlett
	Unprovoked	USA	South Carolina	Folly Beach, Charleston County	Surfing	Holly Dyar	F	33	N	Injury	Left foot	Unknown	Unknown	C. Creswell, GSAF	bDyar
	Unprovoked	REUNION	Saint-Leu	Pointe au Sal	Body boarding	Adrien Dubosc	M	28	Y	Fatal	Unknown	Unknown	Unknown	Clicanoo, 4/29/2017	aDubosc
2017-04-27	Unprovoked	NEW ZEALAND	South Island	Porpoise Bay, Catlins	Body boarding	fe	F	0	N	Injury	Unknown	Unknown	Unknown	C.Black, GSAF	NZ
2017-04-26	Invalid	USA	Florida		Photo shoot	Molly Cavelli	F	0		Fatal	Unknown	No shark	Unknown	The Sun, 5/6/2017	Cavelli
2017-04-22	Unprovoked	ST HELENA, British overseas territory	Ascension Island	English Bay	Snorkeling	Frankie Gonsalves	F	40	N	Injury	Unknown	Unknown	Unknown	Daily Mail, 4/25/2017	Gonsalves
