Year,Country,Area,Location,Activity,Sex ,original order,hurt
2017,USA,South Carolina,Georgetown County,Swimming,M,6150.0,Injury
2017,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,6148.0,Fatal
2017,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,6147.0,Injury
2017,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,6146.0,Injury
2017,USA,Florida,St. Augustine,Surfing,F,6145.0,Injury
2017,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,6143.0,Injury
2017,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,6141.0,Injury
2017,USA,Florida,"Daytona, Volusia County",Swimming,M,6140.0,Injury
2017,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,6139.0,Injury
2017,USA,Florida,"Destin, Okaloosa County",Swimming,F,6137.0,Injury
2017,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6136.0,Injury
2017,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,6130.0,Injury
2017,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,6127.0,Injury
2017,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,6122.0,Injury
2017,AUSTRALIA,Queensland,Clairview,Swimming,M,6119.0,Injury
2017,INDONESIA,Bali,Balian Beach,Surfing,M,6117.0,Injury
2016,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,6113.0,Injury
2016,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Fishing,M,6109.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6108.0,Injury
2016,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,6106.0,Injury
2016,AUSTRALIA,Victoria,Queenscliff,Fishing,M,6105.0,Injury
2016,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,6103.0,Injury
2016,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,6102.0,Injury
2016,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,6101.0,Injury
2016,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,6100.0,Injury
2016,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,M,6099.0,Injury
2016,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,6096.0,Injury
2016,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,6095.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6094.0,Injury
2016,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,6092.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6091.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6090.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6089.0,Injury
2016,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,6088.0,Injury
2016,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,6087.0,Injury
2016,AUSTRALIA,Victoria,Bells Beach,Surfing,M,6086.0,Injury
2016,AUSTRALIA,Western Australia,Bunbury,Fishing,0,6085.0,Injury
2016,USA,Hawaii,"Makaha, Oahu",Swimming,F,6083.0,Injury
2016,AUSTRALIA,Western Australia,Injidup ,Surfing,M,6080.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6076.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6075.0,Injury
2016,REUNION,0,Boucan Canot,Surfing,M,6074.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6070.0,Injury
2016,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,6069.0,Injury
2016,CHINA,Hong Kong,0,Swimming,M,6068.0,Injury
2016,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,6065.0,Injury
2016,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,6064.0,Injury
2016,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,6063.0,Injury
2016,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,6061.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,6059.0,Injury
2016,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,6056.0,Injury
2016,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,6052.0,Injury
2016,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,6050.0,Injury
2016,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,6049.0,Injury
2016,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,6047.0,Injury
2016,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,6042.0,Injury
2016,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,6038.0,Injury
2016,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,6037.0,Injury
2016,EGYPT,Suez,Ain Sokhna,Swimming,M,6035.0,Injury
2016,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,6032.0,Fatal
2016,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,6031.0,Injury
2016,USA,Florida,"Neptune, Duval County",Swimming,M,6030.0,Injury
2016,USA,Florida,"Vero Beach, Indian River County",Swimming,F,6029.0,Injury
2016,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,6028.0,Injury
2016,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,6027.0,Injury
2016,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,6026.0,Injury
2016,NEW ZEALAND,North Island,Cormandel,Fishing,M,6023.0,Injury
2016,INDONESIA,Bali,Balian,Surfing,M,6022.0,Injury
2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6021.0,Injury
2016,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,6019.0,Injury
2016,USA,Florida,"Florida Keys, Monroe County",Fishing,M,6013.0,Injury
2016,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,6010.0,Injury
2016,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,6008.0,Injury
2016,USA,California,"Bolsa Chica State Park, Orange County",Surfing,0,6006.0,Injury
2016,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,6002.0,Injury
2016,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,6001.0,Injury
2016,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,5996.0,Injury
2016,BRAZIL,Balneário Camboriú,Estaleirinho beach,Swimming,M,5993.0,Injury
2016,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,5991.0,Injury
2016,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,5990.0,Injury
2016,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,5988.0,Injury
2016,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,5986.0,Injury
2015,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,5982.0,Injury
2015,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,5980.0,Injury
2015,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,0,5977.0,Injury
2015,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,5973.0,Injury
2015,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,5972.0,Injury
2015,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,5971.0,Injury
2015,AUSTRALIA,New South Wales,East Ballina,Surfing,M,5970.0,Injury
2015,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,5969.0,Injury
2015,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,5968.0,Injury
2015,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,5966.0,Injury
2015,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,5963.0,Injury
2015,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,5962.0,Injury
2015,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,5961.0,Injury
2015,USA,Hawaii,"Waikiki, ",Surfing,M,5959.0,Injury
2015,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,5958.0,Injury
2015,USA,Hawaii,"Leftovers, Oahu",Surfing,M,5955.0,Injury
2015,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,5954.0,Injury
2015,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,5953.0,Injury
2015,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5950.0,Injury
2015,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,5949.0,Injury
2015,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5946.0,Injury
2015,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,5941.0,Injury
2015,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,5940.0,Injury
2015,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,5939.0,Injury
2015,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,5932.0,Injury
2015,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,5931.0,Injury
2015,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,5929.0,Injury
2015,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,5928.0,Injury
2015,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,5925.0,Injury
2015,AUSTRALIA,New South Wales,Evans Head,Surfing,M,5923.0,Injury
2015,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,5922.0,Injury
2015,AUSTRALIA,Victoria,Tyrendarra Beach,Surfing,M,5921.0,Injury
2015,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,5920.0,Injury
2015,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,5916.0,Injury
2015,REUNION,0,St. Leu,Surfing,M,5915.0,Injury
2015,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,5914.0,Injury
2015,USA,California,"Huntington Beach, Orange County",Surfing,M,5913.0,Injury
2015,FRENCH POLYNESIA,Bora Bora,0,Swimming,M,5911.0,Injury
2015,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,5908.0,Injury
2015,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,5906.0,Injury
2015,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,5905.0,Injury
2015,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,5903.0,Injury
2015,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,5901.0,Injury
2015,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,5900.0,Injury
2015,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,5898.0,Injury
2015,USA,North Carolina,Surf City,Swimming,M,5896.0,Injury
2015,AUSTRALIA,Western Australia,Denmark,Surfing,F,5895.0,Injury
2015,USA,Florida,Daytona Beach Shores,Swimming,M,5892.0,Injury
2015,REUNION,Le Port,Folette,Surfing,M,5885.0,Injury
2015,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,5881.0,Injury
2015,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5880.0,Injury
2015,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,5877.0,Injury
2015,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,5876.0,Injury
2015,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,5872.0,Injury
2015,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,5869.0,Fatal
2015,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,5865.0,Injury
2015,EGYPT,0,Marsa Alam,Swimming,M,5863.0,Fatal
2015,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,5860.0,Injury
2015,MEXICO,Sinaloa,Mazlatan,Fishing,M,5859.0,Injury
2015,REUNION,dÉtang-Salé,Ravine Mula,Swimming,F,5856.0,Fatal
2015,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,5855.0,Fatal
2015,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,5854.0,Injury
2015,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,5850.0,Injury
2015,USA,Florida,Off Panama City,Fishing,M,5848.0,Injury
2015,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,5846.0,Injury
2015,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,5842.0,Injury
2014,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,0,5840.0,Injury
2014,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,0,5837.0,Injury
2014,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,5836.0,Injury
2014,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,5835.0,Injury
2014,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,5831.0,Injury
2014,MAURITIUS,Cargados Carajos Shoals (St. Brandon),0,Fishing,M,5830.0,Fatal
2014,AUSTRALIA,Western Australia,Freo,Fishing,M,5829.0,Injury
2014,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,5827.0,Injury
2014,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,5825.0,Injury
2014,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,5824.0,Injury
2014,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,5823.0,Injury
2014,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,5822.0,Injury
2014,USA,Hawaii,"Maalaea, South Maui",Surfing,M,5818.0,Injury
2014,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,5817.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5813.0,Injury
2014,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,5812.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5811.0,Injury
2014,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,5808.0,Injury
2014,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,5807.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5806.0,Injury
2014,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,5804.0,Injury
2014,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,5803.0,Fatal
2014,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,5800.0,Injury
2014,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,5797.0,Injury
2014,USA,Maryland,Assateague National Seashore,Fishing,M,5795.0,Injury
2014,SPAIN,Alicante,Benidorm,Swimming,F,5794.0,Injury
2014,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,5793.0,Injury
2014,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,5785.0,Injury
2014,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,5784.0,Injury
2014,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,5782.0,Injury
2014,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,5781.0,Injury
2014,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,5779.0,Injury
2014,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,5777.0,Injury
2014,REUNION,Saint-Leu,0,Surfing,M,5776.0,Injury
2014,USA,Hawaii,"Paia Bay, Maui",Swimming,M,5773.0,Injury
2014,USA,Florida,Okaloosa Island,Swimming,M,5772.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5769.0,Injury
2014,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,5768.0,Injury
2014,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,5767.0,Injury
2014,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,5763.0,Injury
2014,BRAZIL,0,500 km off the coast of Pernambuco,Fishing,M,5760.0,Injury
2014,JAPAN,Atsumi peninsula,Aichi,Surfing,M,5757.0,Injury
2014,USA,Florida,Fort Lauderdale,Swimming,F,5755.0,Injury
2014,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,5754.0,Injury
2014,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,5748.0,Injury
2014,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,5746.0,Injury
2014,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,5744.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5742.0,Injury
2014,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,5740.0,Injury
2014,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,5737.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5736.0,Injury
2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5735.0,Injury
2014,AUSTRALIA,New South Wales,Tathra,Swimming,F,5734.0,Fatal
2014,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,5732.0,Fatal
2014,USA,Florida,Macarthur State Park,Surfing,M,5730.0,Injury
2014,AUSTRALIA,Victoria,Winkipop Beach,Surfing,M,5728.0,Injury
2014,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,M,5726.0,Injury
2014,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,5724.0,Injury
2014,TRINIDAD & TOBAGO,Trinidad,0,Fishing,M,5720.0,Injury
2014,NEW ZEALAND,South Island,Porpoise Bay,Surfing,M,5719.0,Injury
2014,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,5718.0,Injury
2013,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,M,5712.0,Injury
2013,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,5709.0,Injury
2013,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,5708.0,Injury
2013,AUSTRALIA,Western Australia,Gracetown,Surfing,M,5704.0,Fatal
2013,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,5703.0,Injury
2013,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,M,5702.0,Injury
2013,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,5699.0,Injury
2013,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,M,5694.0,Injury
2013,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,5692.0,Injury
2013,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,5688.0,Injury
2013,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,5686.0,Injury
2013,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,5683.0,Injury
2013,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,5682.0,Injury
2013,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,5681.0,Injury
2013,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,5680.0,Injury
2013,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,M,5678.0,Injury
2013,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,5676.0,Injury
2013,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,5671.0,Injury
2013,USA,Hawaii,Pohoiki ,Surfing,M,5666.0,Injury
2013,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,5665.0,Injury
2013,USA,South Carolina,Folly Beach,Surfing,M,5662.0,Injury
2013,USA,Florida,"Sanibel Island, Lee County",Fishing,M,5660.0,Injury
2013,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,5658.0,Injury
2013,USA,Hawaii,"White Plains Beach, Oahu",Surfing,M,5655.0,Injury
2013,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,F,5652.0,Fatal
2013,DIEGO GARCIA,0,0,Swimming,M,5648.0,Fatal
2013,SPAIN,Catalonia,"Sant Marti dEmpuries Beach, LEscala",Swimming,M,5646.0,Injury
2013,TAIWAN,Taitung ,0,Fishing,M,5644.0,Injury
2013,USA,Florida,"Jacksonville, Duval County",Swimming,M,5641.0,Injury
2013,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,5640.0,Injury
2013,USA,Hawaii,Kona Coast State Park,Swimming,M,5639.0,Injury
